ISO,REF_AREA_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
EAS,East Asia & Pacific,34.02071541378677,34.715585436802954,35.41797413695759,36.1330020550468,36.86176855095041,37.60161188959624,38.35467235026041,39.10532819161661,39.8729274983048,40.6532788102548,41.46103537156527,42.451293627527306,43.53303002048148,44.61585978521238,45.702320910219576,46.78537201622751,47.83471369932764,48.865798059370505,49.89869602900525,50.92383375255093,51.94690027436047,52.87323069711404,53.76436177580524,54.64966505967924,55.53605922693893,56.42052248093676,57.302748158823285,58.17656111212944,59.03460498373744,59.87255834431975,60.68223451548892,61.45940023400117,62.22573126511048,62.98254027134031,63.71061563197689
ECA,Europe & Central Asia (excluding high income),56.49274760263181,56.72571827439486,56.90960317848064,57.105433378715134,57.28090145937103,57.4436700759071,57.59905317046737,57.762505565426046,57.94211771934621,58.14026081178896,58.36665919457267,58.6209775355286,58.91324833049404,59.22493259014265,59.541547861792274,59.86153345315934,60.18324669983886,60.48462674226303,60.8097209766359,61.13480682315077,61.451914388362106,61.73265061991019,61.96562500231034,62.19085578343849,62.41243126310004,62.63181757379909,62.852659874463065,63.07288259517578,63.30134859336568,63.5381802571839,63.76311537877268,63.99197909098351,64.16972587626604,64.32563080453693,64.56297744082129
ECS,Europe & Central Asia,67.56171495967753,67.6950459424704,67.80613151668166,67.91202341106944,68.02321361095011,68.13277128099945,68.2368672044038,68.34362084991542,68.45504481893497,68.57142180196526,68.69991293905184,68.85447025164373,69.0540819801949,69.26341936501424,69.47561876789499,69.69052066499589,69.90445635992832,70.12160932730133,70.33525802291273,70.540609283588,70.74232797139796,70.92542931470074,71.09958023776926,71.27147156835467,71.4427438586557,71.61935976073589,71.80183194886574,71.98700654728096,72.17878956882153,72.378819157659,72.58462866555566,72.79985755127728,73.03962012906057,73.28348617395305,73.5167743020799
ECU,Ecuador,55.09,55.709,56.226,56.74,57.254,57.766,58.277,58.785,59.291,59.796,60.299,60.799,61.118,61.316,61.514,61.711,61.907,62.104,62.3,62.495,62.69,62.851,62.988,63.125,63.261,63.398,63.534,63.67,63.821,63.986,64.166,64.361,64.57,64.792,65.029
EGY,"Egypt, Arab Rep.",43.478,43.345,43.212,43.079,42.946,42.814,42.681,42.658,42.704,42.75,42.797,42.843,42.889,42.935,42.981,43.027,43.073,43.078,43.058,43.039,43.019,43.0,42.946,42.893,42.839,42.785,42.732,42.705,42.704,42.73,42.783,42.862,42.967,43.1,43.258
EMU,Euro area,70.91489369650996,71.08697642358378,71.24553380660096,71.41034618963133,71.59109212311897,71.77230448526659,71.95355953139091,72.1299808095528,72.30316131414133,72.48198242221287,72.67452145924496,72.89062659425508,73.13375175939375,73.38355274888147,73.62825269622277,73.87027654687535,74.10718888503813,74.33532507001502,74.5609913920847,74.78743359014351,75.01676288838671,75.24116983563526,75.45691848471627,75.67557630987842,75.88772981913844,76.10294155329906,76.31975882515614,76.54149982123931,76.76334817416571,76.99972316915743,77.23498135936505,77.47162405071272,77.7126830118197,77.95604112646645,78.20471541498559
ERI,Eritrea,18.905,19.59,20.294,21.015,21.755,22.514,23.293,24.088,24.903,25.735,26.587,27.455,28.341,29.244,30.164,31.099,32.051,33.017,34.0,34.585,35.175,35.771,36.372,36.979,37.59,38.206,38.827,39.451,40.08,40.712,41.347,41.985,42.625,43.267,43.911
ESP,Spain,75.351,75.528,75.61,75.692,75.774,75.856,75.938,76.019,76.1,76.181,76.262,76.343,76.533,76.778,77.022,77.263,77.502,77.74,77.976,78.21,78.442,78.673,78.902,79.133,79.366,79.602,79.84,80.08,80.321,80.565,80.81,81.056,81.304,81.552,81.802
EST,Estonia,71.231,71.046,70.86,70.674,70.487,70.3,70.111,69.923,69.733,69.543,69.368,69.242,69.116,68.989,68.862,68.735,68.607,68.479,68.351,68.223,68.094,67.965,67.974,68.122,68.269,68.416,68.563,68.717,68.88,69.051,69.229,69.415,69.609,69.81,70.019
ETH,Ethiopia,12.621,12.867,13.116,13.37,13.627,13.827,14.006,14.186,14.369,14.553,14.74,14.927,15.118,15.31,15.504,15.7,15.899,16.116,16.51,16.91,17.319,17.735,18.16,18.575,18.998,19.428,19.866,20.31,20.763,21.225,21.695,22.174,22.661,23.157,23.661
EUU,European Union,69.36909200544378,69.55900065018773,69.71589079760409,69.84568350616121,69.98603930332382,70.1268366665122,70.26681315677034,70.40152564754707,70.53315184515803,70.66976322960345,70.82576175100468,71.01225938767593,71.24016281898841,71.4619792178923,71.67974557813483,71.897994774521,72.11408554359576,72.33315647838751,72.55103402455205,72.75852691157458,72.96642890804328,73.16082238367125,73.34982609066212,73.53880526776582,73.72318740972752,73.91413538256458,74.11115690455682,74.31371808385168,74.52128706459925,74.74058429860223,74.97598721599181,75.22018074965946,75.46205747041418,75.70388053254554,75.94928317697804
FCS,Fragile and conflict affected situations,35.173204041361764,35.41922605717688,35.66974877144043,35.91674626139101,36.08114383928063,36.21739238106984,36.39155256470196,36.57902810223912,36.7641634950648,36.95751402626417,37.16919129177019,37.45406431861633,37.71555348150329,37.97918872214754,38.25502259884,38.5403322301542,38.81395388061588,39.04650503573546,39.394497050435405,39.7494228049932,40.111530364556685,40.42841903618746,40.744224534000026,41.09474585888118,41.44930139910366,41.83283694174152,42.21402427566749,42.58431853139406,42.92721382857902,43.26807795438009,43.639422996626735,44.04210709140778,44.40164649530698,44.768587127188425,45.22087300660184
FIN,Finland,79.367,79.843,80.128,80.409,80.688,80.963,81.223,81.466,81.707,81.946,82.183,82.368,82.503,82.638,82.772,82.905,83.037,83.168,83.299,83.429,83.77,84.313,84.841,85.125,85.175,85.225,85.275,85.325,85.382,85.446,85.517,85.596,85.681,85.773,85.872
